Date,rf_rate
3/2/2015,2.22E-06
3/3/2015,2.22E-06
3/4/2015,1.11E-06
3/5/2015,2.22E-06
3/6/2015,1.11E-06
3/9/2015,2.22E-06
3/10/2015,2.22E-06
3/11/2015,3.33E-06
3/12/2015,3.33E-06
3/13/2015,3.33E-06
3/16/2015,5.56E-06
3/17/2015,5.56E-06
3/18/2015,3.33E-06
3/19/2015,3.33E-06
3/20/2015,1.11E-06
3/23/2015,3.33E-06
3/24/2015,2.22E-06
3/25/2015,4.44E-06
3/26/2015,3.33E-06
3/27/2015,4.44E-06
3/30/2015,4.44E-06
3/31/2015,3.33E-06
4/1/2015,3.33E-06
4/2/2015,2.22E-06
4/3/2015,2.22E-06
4/6/2015,3.33E-06
4/7/2015,2.22E-06
4/8/2015,3.33E-06
4/9/2015,3.33E-06
4/10/2015,2.22E-06
4/13/2015,3.33E-06
4/14/2015,2.22E-06
4/15/2015,2.22E-06
4/16/2015,2.22E-06
4/17/2015,1.11E-06
4/20/2015,3.33E-06
4/21/2015,3.33E-06
4/22/2015,3.33E-06
4/23/2015,3.33E-06
4/24/2015,3.33E-06
4/27/2015,2.22E-06
4/28/2015,2.22E-06
4/29/2015,1.11E-06
4/30/2015,1.11E-06
5/1/2015,1.11E-06
5/4/2015,2.22E-06
5/5/2015,1.11E-06
5/6/2015,2.22E-06
5/7/2015,1.11E-06
5/8/2015,1.11E-06
5/11/2015,2.22E-06
5/12/2015,3.33E-06
5/13/2015,2.22E-06
5/14/2015,1.11E-06
5/15/2015,2.22E-06
5/18/2015,2.22E-06
5/19/2015,2.22E-06
5/20/2015,2.22E-06
5/21/2015,2.22E-06
5/22/2015,2.22E-06
5/26/2015,2.22E-06
5/27/2015,1.11E-06
5/28/2015,1.11E-06
5/29/2015,1.11E-06
6/1/2015,2.22E-06
6/2/2015,1.11E-06
6/3/2015,2.22E-06
6/4/2015,2.22E-06
6/5/2015,3.33E-06
6/8/2015,2.22E-06
6/9/2015,2.22E-06
6/10/2015,2.22E-06
6/11/2015,1.11E-06
6/12/2015,2.22E-06
6/15/2015,2.22E-06
6/16/2015,1.11E-06
6/17/2015,1.11E-06
6/18/2015,1.11E-06
6/19/2015,1.11E-06
6/22/2015,1.11E-06
6/23/2015,1.11E-06
6/24/2015,1.11E-06
6/25/2015,1.11E-06
6/26/2015,1.11E-06
6/29/2015,2.22E-06
6/30/2015,1.11E-06
7/1/2015,1.11E-06
7/2/2015,1.11E-06
7/6/2015,2.22E-06
7/7/2015,2.22E-06
7/8/2015,2.22E-06
7/9/2015,3.33E-06
7/10/2015,1.11E-06
7/13/2015,2.22E-06
7/14/2015,1.11E-06
7/15/2015,2.22E-06
7/16/2015,2.22E-06
7/17/2015,3.33E-06
7/20/2015,4.44E-06
7/21/2015,3.33E-06
7/22/2015,4.44E-06
7/23/2015,3.33E-06
7/24/2015,4.44E-06
7/27/2015,5.56E-06
7/28/2015,5.56E-06
7/29/2015,6.67E-06
7/30/2015,7.78E-06
7/31/2015,8.89E-06
8/3/2015,8.89E-06
8/4/2015,8.89E-06
8/5/2015,8.89E-06
8/6/2015,4.44E-06
8/7/2015,6.67E-06
8/10/2015,1.33E-05
8/11/2015,1.11E-05
8/12/2015,1.11E-05
8/13/2015,1.11E-05
8/14/2015,1.00E-05
8/17/2015,1.11E-05
8/18/2015,7.78E-06
8/19/2015,5.56E-06
8/20/2015,2.22E-06
8/21/2015,3.33E-06
8/24/2015,6.67E-06
8/25/2015,7.78E-06
8/26/2015,6.67E-06
8/27/2015,6.67E-06
8/28/2015,6.67E-06
8/31/2015,8.89E-06
9/1/2015,3.33E-06
9/2/2015,3.33E-06
9/3/2015,2.22E-06
9/4/2015,2.22E-06
9/8/2015,6.67E-06
9/9/2015,3.33E-06
9/10/2015,2.22E-06
9/11/2015,4.44E-06
9/14/2015,7.78E-06
9/15/2015,7.78E-06
9/16/2015,6.67E-06
9/17/2015,1.11E-06
9/18/2015,-1.11E-06
9/21/2015,1.11E-06
9/22/2015,-1.11E-06
9/23/2015,1.11E-06
9/24/2015,1.11E-06
9/25/2015,-1.11E-06
9/28/2015,1.11E-06
9/29/2015,1.11E-06
9/30/2015,-1.11E-06
10/1/2015,-2.22E-06
10/2/2015,0
10/5/2015,1.11E-06
10/6/2015,0
10/7/2015,0
10/8/2015,-1.11E-06
10/9/2015,1.11E-06
10/13/2015,1.11E-06
10/14/2015,0
10/15/2015,1.11E-06
10/16/2015,1.11E-06
10/19/2015,2.22E-06
10/20/2015,2.22E-06
10/21/2015,1.11E-06
10/22/2015,0
10/23/2015,1.11E-06
10/26/2015,2.22E-06
10/27/2015,3.33E-06
10/28/2015,4.44E-06
10/29/2015,7.78E-06
10/30/2015,8.89E-06
11/2/2015,8.89E-06
11/3/2015,6.67E-06
11/4/2015,5.56E-06
11/5/2015,5.56E-06
11/6/2015,8.89E-06
11/9/2015,1.56E-05
11/10/2015,1.44E-05
11/12/2015,1.56E-05
11/13/2015,1.44E-05
11/16/2015,1.67E-05
11/17/2015,1.56E-05
11/18/2015,1.33E-05
11/19/2015,1.22E-05
11/20/2015,1.22E-05
11/23/2015,1.56E-05
11/24/2015,1.78E-05
11/25/2015,2.11E-05
11/27/2015,1.89E-05
11/30/2015,2.44E-05
12/1/2015,2.33E-05
12/2/2015,2.33E-05
12/3/2015,2.33E-05
12/4/2015,2.44E-05
12/7/2015,3.22E-05
12/8/2015,3.00E-05
12/9/2015,2.89E-05
12/10/2015,2.67E-05
12/11/2015,2.44E-05
12/14/2015,2.89E-05
12/15/2015,2.78E-05
12/16/2015,3.00E-05
12/17/2015,2.56E-05
12/18/2015,2.11E-05
12/21/2015,2.67E-05
12/22/2015,2.33E-05
12/23/2015,2.22E-05
12/24/2015,2.22E-05
12/28/2015,2.56E-05
12/29/2015,2.56E-05
12/30/2015,2.33E-05
12/31/2015,1.78E-05
1/4/2016,2.44E-05
1/5/2016,2.22E-05
1/6/2016,2.33E-05
1/7/2016,2.22E-05
1/8/2016,2.22E-05
1/11/2016,2.33E-05
1/12/2016,2.33E-05
1/13/2016,2.44E-05
1/14/2016,2.78E-05
1/15/2016,2.56E-05
1/19/2016,2.89E-05
1/20/2016,2.89E-05
1/21/2016,3.11E-05
1/22/2016,3.33E-05
1/25/2016,3.44E-05
1/26/2016,3.44E-05
1/27/2016,3.56E-05
1/28/2016,3.78E-05
1/29/2016,3.56E-05
2/1/2016,3.89E-05
2/2/2016,3.78E-05
2/3/2016,3.67E-05
2/4/2016,3.22E-05
2/5/2016,3.22E-05
2/8/2016,3.56E-05
2/9/2016,3.33E-05
2/10/2016,3.44E-05
2/11/2016,3.11E-05
2/12/2016,3.22E-05
2/16/2016,3.33E-05
2/17/2016,3.33E-05
2/18/2016,3.33E-05
2/19/2016,3.33E-05
2/22/2016,3.67E-05
2/23/2016,3.56E-05
2/24/2016,3.67E-05
2/25/2016,3.56E-05
2/26/2016,3.56E-05
2/29/2016,3.67E-05
3/1/2016,3.67E-05
3/2/2016,3.89E-05
3/3/2016,3.00E-05
3/4/2016,3.11E-05
3/7/2016,3.56E-05
3/8/2016,3.22E-05
3/9/2016,3.33E-05
3/10/2016,3.44E-05
3/11/2016,3.56E-05
3/14/2016,3.78E-05
3/15/2016,3.78E-05
3/16/2016,3.44E-05
3/17/2016,3.22E-05
3/18/2016,3.22E-05
3/21/2016,3.44E-05
3/22/2016,3.33E-05
3/23/2016,3.33E-05
3/24/2016,3.22E-05
3/28/2016,3.22E-05
3/29/2016,2.56E-05
3/30/2016,2.22E-05
3/31/2016,2.33E-05
4/1/2016,2.56E-05
4/4/2016,2.56E-05
4/5/2016,2.56E-05
4/6/2016,2.56E-05
4/7/2016,2.56E-05
4/8/2016,2.56E-05
4/11/2016,2.56E-05
4/12/2016,2.44E-05
4/13/2016,2.56E-05
4/14/2016,2.44E-05
4/15/2016,2.44E-05
4/18/2016,2.44E-05
4/19/2016,2.33E-05
4/20/2016,2.56E-05
4/21/2016,2.56E-05
4/22/2016,2.56E-05
4/25/2016,2.78E-05
4/26/2016,2.67E-05
4/27/2016,2.67E-05
4/28/2016,2.44E-05
4/29/2016,2.44E-05
5/2/2016,2.44E-05
5/3/2016,2.33E-05
